70,34,68,18,32,58,80,11,59,35,74,13,21,33
10,24,50,46,14,26,22,77,65,5,27,71,15,39
42,6,60,2,52,66,82,3,9,83,67,1,53,25
62,8,36,12,16,38,43,41,45,17,37,49,73,23
44,56,40,79,48,54,78,84,29,76,61,57,51,75
72,30,4,28,22,64,69,63,7,47,19,31,81,55
114,112,126,87,89,88,90,93,86,94,96,85,95,104
123,116,137,110,91,98,129,99,107,122,105,93,106,121
131,147,143,113,101,115,103,140,111,145,133,109,117,125
138,151,118,124,141,127,142,149,97,134,120,100,119,132
144,153,146,128,150,154,152,102,135,148,136,108,130,139
